,text,label
20,지난번에 상태좋은 한입고구마가 와서 재구매 했더니 이번엔 아니네요 한입 크기는 거의없고 가늘고 긴것들이 대부분이고 상한부분 잘라낸 거들도 여러게 있고 좀 아쉽네요,0
21,고구마가 생각보다 싱싱하고 사이즈도 넉넉히 좋습니다 ㅎㅎ아이가 좋아해서 한입크기 자주 구매하는데상태도 크기도 너무나 만족해요많이 파세요,1
22,한입인줄 알았는데 긴상이네요상품성 있는것도있고 너무 얇은것도 있지만 만족합니다에어프라이기에 조리해봤는데꿀고구마 아닙니다단 맛이 전혀없어요아진짜,0
23,아주 작은 사이즈 고구마가 상자안에 촘촘히 들어있는데 상한게 하나 없어 좋네요 개인적으로 빨리 냄비에 익힐 수 있는 작은 사이즈를 선호해서 잘 받았습니다,1
24,진짜로 딱 한입 크기의 고구마네요큰건 삶는데 시간도 오래 걸리고 먹다 남기기도 그렇고 한데전기 찜기로 분 돌리니 잘 삶아지구요 맛도 아주 좋아요,1
25,저렴하게 잘구매한것같아요   조금  넘작아  한입도 안되는게  아마도  시골에선 그냥버리는  상품이겠지만  그래도 구매해서 먹어야하니  잘  먹을게요   사진은 크게,1
26,고구마 자체는 작아도 너무너무 작은 것들인데 그나마 상한 것들이 극히 소량만이라 그걸 만족해 하면 부지런 군고구마로 먹으려고 합니다 빠른 배송은 감사니다,0
27,인 가구가 많지만 조금씩 주변에서 사다 먹기엔 또 많이 비싼 고구마를 적당량에 합리적인 가격으로 주셔서 감사해요 개인적으로 좋아하는 사이즈에요,1
28,오자마자 에어프라이어에 구워먹었는데 달고 맛있었어요일부로 빨리 먹으려고 작은 것만 골라 구워봤는데 사이즈도 딱 먹기 좋은 사이즈라 너무너무너무 좋았어요,1
29,슬로우쿠커에 찌니 고운분이 날 정도로 대체로 맛있는데나눠먹긴 그렇네요자색고구마도 섞여있나봄개 쪄낸것중 하나 있던데 덜 싱싱한데다른건 괜찮겠죠,1
30,고구마 막 먹기에는 가성비 좋네요지난번에 사서 에어프라이어로 구워 먹고이번에 또 구매 했어요유튜브 쌔똥회군고구마 먹방영상 후기가 있어요,1
31,에어 프라이어를 올킬특가로 구입하면서 고구마를 오븐에 구워먹으면 그리 맛난다고 다들해서 주문해는데아직 첫개시도 못했네요 오늘은 꼭 먹어봐야 겠어요,1
32,생각보다 진짜 넘작은게 대부분이라 걱정많이했는데 다행하 받고나서 일 베란다에서 말린뒤 오늘 삶아서먹어보니 맛은 있네요 간혹몇개는 심이 많아요,1
33,지난번 맛있게먹고 재구매예요 역시 맛있고 딱 한입사이즈라 먹기 편하고 좋아요 에프에 도 분 돌렸어요 그럼 더 달아져요 ㅎㅎ 번창하세요,1
34,달달 하니 맛있어요 근데 무게 맞추려고 잘라 넣으신건 아니져 잘잘하게 잘린것들이 보여서 아쉬웠어요 근데 구매한거 후회 안할정도로 너무 맛있어요,1
35,지난번것도 좋았는데 이번에 받은 고구 마는 지난번 받은것보다 더욱 품질과 크기가 좋아졌습니다 대 만족 입니다,1
36,좋아요 너무 좋네요 생각 했던 것 보다 크기도 고르고 쩌서 먹어보니 맛도 좋아요 아주 예쁜 것 이 왔네요 또 구입할게요 감사합니다 ,1
37,그냥 먹을만한 정도입니다 달지는 않아요 보통의 단맛정도입니다좀 식으니 좀 단맛이 나서 먹을정도네요 크기는 적당하니 좋아요,0
38,대실망 썩은 고구마가 태반 거의 제대로 된 고구마를 구경 못하고 지인 집에서 삶아 드렸는데 창피했음 반품시기를 놓친 것이 안타깝다,0
39,상태가 아주 좋지는 않아요  흠집있는것도 몇개 있고 하지만 저렴한 가격과 빠른배송 생각하면 괜찮은편,0
40,작긴하지만 상한거 없이 상태도 좋고 아주 맛있네요다시주문하려고 찾아들어온김에 리뷰남깁니다 맛있게 잘 먹었어요,1
41,배송 빠르고 한입 먹기 딱 좋은 사이즈에 달고 맛난 밤고구마네요 세척한 상태라 손질도 간편해요,1
42,진짜 고구마가 너무 적어요   껍질까면거의못먹을정도로적어요  이런건줄알았으면  조금돈을더주더라도큰것을시킬걸후회했네요  너무너무적습니다,0
43,와 우  싸게  잘  샀어요  맛도  좋아요밥할때 깨끗이  씻어어  껍질째  등분해서  넣어  하면  좋겠어요   마니  파세요,1
44,저렴하게 너무 잘샀어요 에프에 돌려먹으면 더 달고 맛있어요  양이 너무 많아 안상하게 잘 먹을수있을지 나눠먹어야겠어요,1
45,고구마  상태두  좋구요 크기가  생각한것보다   커요  엄청  달구  맛있어요  잘  먹겠음니다,1
46,한입크기고구마는 처음인데 정말 작네요 ㅋ크기 정말 작지만 달고 맛있어요상태도 좋고  양도많아요,1
47,처음에  먹어보고 좋아서   추가 구매하고 세번째  친구에게 보내줬어요 친구도 맛있게 먹었으면 합니다,1
48,한입 고구마 잘 받았습니다 한입 고구마  잘 받았습니다한입 맛있는고구마 잘 받았습니다 강추입니다,1
49,한입사이즈 크기도 좋고 흠집도없고맘에들어요오자마자 쩌먹었는데 꿀고구마는 아니고그냥 먹을만하네요,1
50,잘받았구 깨끗하게 잘 왔네여 먹어보질 않아 맛은 아직 모르지만먹는순간 썩은게 없길 바라믄서리잘 먹겠슴돠,1
51,맛은 있는데 사이즈가 너무 작아  아숩네요한입크기가  아니라  반입크기 정도 되겠네요,0
52,크기도 한입먹기 딱좋고 맛도 좋으네요 다만 제가 보간을 잘못해서인지 곰팡이가 피었어요 ㅠㅠ 보관잘하세요,1
53,두번째구매인데 이번엔 작기도 너무작고신문지에 널어서 말리고 박스에 넣어뒀는데도 다 썩어버리네요다신 구매안하려구요,0
54,배송 빨라요꿀고구마이기보단 밤고구마에 더 가까운거 같아요그래서 저는 더 맘에 들어요먹기에 크기도 적당하고 맛도 좋아요,1
55,한입소 라고 해도 너무 작아요 거의 생기다만 고구마 거의 줄기에 가깝다고 생각합니다  먹을 것이 거의 없어요,0
56,세척된 것인지 깨끗합니다썩은 것도 거의 없어서 이틀 건조하고 오늘 쪘더니 정말 맛있어요잘 먹겠습니다,1
57,첫 구매하여 먹엇을때  진짜 맛있어 재 구매했는데  맛도 별로 없고 금방 썩고 해서 실망이네요 다 먹지못하고 버렸어요,0
58,다른분들 사진마다 고구마 모양이 달라서 두툼하길 기대했는데 길이가 길고 얇아요 고구마 하나당 정도 되네용,0
59,크기는 긴상인데 기형적인 모양이 많고숙성이 덜 됐는지 단맛은 보통이고 껍질이 두꺼워요ㅡ일단 말리는 중,0
60,보통 한입 사이즈가 가느다랗고 작은게 많은데 이것은 너무 작지않고 좋습니다아침 대용으로 잘 먹겠습니다,1
61,깔끔하게 잘 포장되어 물건 잘 받았습니다물건도 아주 너무 좋습니다 잘 먹을게요수고 하세요 감사합니다,1
62,썩은것들 있고 겉은 멀쩡한데 속이 시커멓게 상한것들있고 어휴어무이가 이미 먹어서 반품못하네요,0
63,진짜 꿀고구마고 딱한입이구 받아보니 박스두튼실해서 킬로 안전하게 잘 배송받아 기분좋앗슴니다,1
64,제품 깨끗  포장  좋음     먹어보지 않아 맛은 모르겠어요손톱보다 조금 큰것들이  있어요,1
65,포장도깔끔하고 고구마도좋아요한입싸이즈이긴하나너무저렴해서황송할따름입니다감사합니다,1
66,아직 먹어보진 않았지만 크기도 적당하고 상태 깨끗 배송 아주 빠릅니다,1
67,그리고 진짜 맛없어요꿀고구마가 아니고 텁텁한 밤고구마 같아요작아도 꿀고구마였으면 좋았을건데아쉽네요,0
68,한잎 크기라 먹기도 편해요처음에는 단맛이 덜한것 같은데먹어보니까 단맛이 나네요잘 먹을게요,1
69,작은상자에 왔는데 귀욘샤쥬고구마 많이 들었네요 맛있게 즐감중요 헌양면후라이팬 군고구마 짱좋아요,1
70,고구마 상태도 좋고 맛도 괜찬네요가격도 착하고 만족합나다,1
71,가격 너무 싸고 별 기대안했는데 고구마도 맛있네요좀 썩은 부분이 있어서 별 네개입니다,0
72,유튜브  쌔똥  회 군고구마 먹방영상 후기가 있어요한입 크기 산거에요,1
73,고구마  재주문했어요  너무  맛있고  생으로  껍질째  먹으니  과일이나  밤보다  맛있네요,1
74,언니 보내줘서 맛있다길래 엄마도 보내드렸는데 워낙에 까탈스런 분이라 썩 맘에 들어하진 않으시네요에휴,0
75,크기도 알맞아 실속있는 상품에 저렴한 가격이라 만족합니다,1
76,작아도 너무 작고 맛을 봤는데 너무 맛 없고아래보니 썩은것도 많아요처음 사보는데 너무하시네요,0
77,좋아하는 한입소 구워서  식으니까  맛있네요하나집어 한입넣으면  다시 손이가는  마약고구마,1
78,한입에 속속 들어와 먹기 편 하고맛은 달콤하고 식감은 부드럽워요김치 한점과 같이 먹어요,1
79,전 고구마 안 씻은 고구마 인줄 알고 주문 했는데 씻은 고구마 이네요그래서 별로 이에요,0
80,배송도 무지 빨랐고고구마 색깔이 선명하니삶아먹으니 달콤달콤 넘 맛있어요,1
81,가격도저렴하고상태모두좋습니다맛도 밤고구마 감사합니다,1
82,맛있네요 사이즈는 아기들이 먹기 좋은 한입 성인은 사이즈 크게 하세요,1
83,작지만 자꾸 손이가는 맛완전 꿀은 아니지만막을만해요모양도 상태양호하고요,1
84,고구마가 아주 맛있어 보입니다아직 먹기전이나 모양이나 신선도가 마음에 듭니다,1
85,꿀고구마인줄 알았는데 맹탕이에요호박고구마도 아니고 밤고구마도 아닌밍밍한 고구마입니다,0
86,상한 것도 없고 신선하네요 구워서 먹었는데 엄청 달아요 대만족입니다 ,1
87,배송은 빨랐어요작긴 작아요고구마 상자 겉엔 없더니 속에 저런것이ㅜ깡짝 놀랐네요,0
88,배송빠르고 저렴하게 잘 샀어요고구마가 달고 맛있어요 잘 먹겠습니다,1
89,고구마 잘 받았어요 세척되어 있어서 편하네요 잘 먹을게요 많이 파세요,1
90,고구마가 에어풀라이어에 구워먹기딱좋은 사이즈에 요 맛있어 보이네요 감사합니다,1
91,언것두 있지만 맛나것이 더 많아서 저는 만족합니다잘 먹겠습니다ㅡㅡㅡ,1
92,한입고구마  보다 크고 맛있네요  가격대비   만족합니다,1
93,가격이 저렴해서 크게 기대하지 않았는데 맛있네요바로 재주문합니다,1
94,상품은 잘 받았어요나도 시키고내 손주도 시켜 주고머 그냥 먹을 만 해요,1
95,작아도너무작아서구우니쪼글쪼글볼품 없어요 혼자먹긴좋으나 누구줏녀니 완전 맛없어보여 못줘요,0
96,작지만 맛도 괜찮고 좋은데꿀고구마가 아니라 밤고구마에요 ㅠㅠ너무 퍽퍽해요,0
97,증말 맛있습니다크기는 조금 작은데 빨리 익어서 조리시간이 짧아요,1
98,꿀고구마 크기도 적당하고맛도 달콤하고애들 간식으로 최고입니다,1
99,빠른 배송 감사요 숙성 후 먹으려고 기다리느라 아직 시식 전입니다 맛있겠죠ㅋㅋㅋ,1
100,맛있길 기대합니다 자취생이라 저렴하고 사이즈 작아서 구입했어요,1
101,잘 받았습니다좋은고구마 보내주셔서 감사합니다지금 찌고있습니다맛나면 또뵈요,1
102,가격 보통 배송 보통 맛 보통하지만 당시에는 판매가 최저라구매,0
103,겉면은 많이 마른것 같은데 쪄서 먹으니 그런대로 가격이 넘 착해서 굿,1
104,작아도 너무 작아요상품성 제로 아닌가요너무 하시네요비교샷 올립니다,0
105,생각보다 작지만상태는 좋고 만족합니다고맙습니다,1
106,한입이라곤 하지만 너무 작아요그것빼곤 상태 맛 다 좋아요,0
107,와진짜 전부한입 크기로 쥐알만한 것으로 한박스 가득 ㅋㅋㅋ,1
108,받자마자 에어프라이어 직행작아서 달고 먹기 더 편하고 배송도 아주 빠름,1
109,고구마가 잘아서 삶기 위해 닦는 게 힘들지만 적당히 달아서 먹기엔 좋습니다,1
110,조금 작아요부서지고 상한것도 있는데 가격대비 만족합니다,1
111,언니보내주고 맛이 괜찮아서 엄마꺼 제꺼 또 시켰어요제 껀 아직 시식전이에요,1
112,고구마가 작지만 생각외로 달고 맛있습니다다 먹고 나면 재구입 예정입니다,1
113,보낼때는 멀쩡했을듯합니다 오면서 깨져버린듯해요먹어보고 맛있면 재구매할게요,0
114,먼저는 크기가 괜찮았는데 이번은 크기가 좀 작군요,0
115,진짜 한입싸이즈네요 맛은 아직이라 저녁에 구워먹어볼께요 감사,1
116,상품평보고 작은줄 알았지만 진짜 작네요그래도 에어프라이기에 돌리니 맛있어요,1
117,상태도 너무 좋고 가격대비 만족입니다,1
118,달긴 달고 맛있는데 심지가 많아요 가끔 썩은 맛 나는 거 있어요,0
119,딱 한잎 사이즈긴해요근데 심박힌것도 없는거 같고 맛있어요,1
120,진짜 한입싸이즈가 왔녜요조금만 크면 좋을듯 싶네요 ㅠㅠㅠ맛은 좋아요,1
121,고구마 깨끗하고 한입 먹기에 딱이네요바로 쪘는데 맛도 좋고,1
122,한입고구마가 아니라 반입고구마네요ㅠㅠ이렇게 작은고구마는 첨 봤어요ㅠ,0
123,먼저거랑 같이 맛난거겠죠  코로나 로 맛있게 먹고 두번짼데  감사합니다,1
124,배송 빨라요  근데  고구마 사이즈가  너무작아요별두개  뺄께요,0
125,고구마같은 고구마를 판시지요성숙도 안된걸 상품이라고  판매하고 있네요,0
126,상태는 좋은데 작긴 너무 작네요 골프공,0
127,깨끗하고 달아요농부의마음울 느끼며 감사히먹고있어요 싸게사기까지,1
128,단맛은좀 부족하지만 저렴하니까 ㅠㅠㅠ 신선한걸루 잘 도착햇어요,1
129,상품 배송 만족합니다 양두많구 달구간식으로 좋습니다,1
130,돌려서 군고구마 만들어먹었어요 밤고구마 호박구고마 섞은듯한 맛이예요,1
131,크기는 정말 작은데 맛있고 상태가 좋아요,1
132,사이즈는  한입크기라  작지만  맛은  괘안아요,1
133,맛있고 좋아요 가격대비 매우 만족합니다ㅣ,1
134,보내주신 자그마한 꿀고구마 잘 받았습니다 맛있게 잘 먹을게요,1
135,정말가격대비 최고입니다 다먹으면 또 주문하겠습니다,1
136,저장기간이 오래돼서 그런지 맛이 별로예요싼게 비지떡 실망이예요 ㅠㅠ,0
137,고구마가 깨끗하고 작아도 껍질이 얇고 맛이 아주 좋습니다,1
138,에어프라이어에 구우니까 한입크기에 넘 맛있어요,1
139,찐 맛있어요삶아놓고 냉장고 들어갔다 나와도 맛있네요감사합니다,1
140,좋은것만넣어 보내주셔서 진심으로 감사드립니다정말 맛나네요,1
141,크거가 조금 작네요그래서 별하나 뺏어요맛은 개안습니다,1
142,썩은게 몇개 있네요 포장할때 검수 좀더 신경써 주심 좋겠어요,0
143,한입이지만 끝손가락만한거는 쫌 거기다가 썩어서 문드러진게 개나,0
144,가격대비 실망 사진보고 구입했다가 속은기분이네요,0
145,만족합니다 배송도 빠르고 잘 받았습니다,1
146,아직 안먹어봐서 모르겟구요사이즈는 정말 한입이네요 ㅋ,1
147,우리 딸들이 고구마를 잘 받았다고합니다감사합니다수고했어요,1
148,다행히 잘받았어요고구마를 워낙좋아해서오븐에 다구워봐야 겠어요,1
149,아직 시식전ㅎ아이들도울강쥐도 잘먹어방학간식으로 주문,1
150,가늘고 길어요 사진보다 좀 작지만 맛 괜찮고가성비 좋네요,1
151,맛이 좋고 깨긋해서 좋은데 크기가 너무 작군요,1
152,받자마자 구는데 달고 맛있어요간혹 이상한 맛도 잇지만요,1
153,상태양호하고 맛도 답니다금방 다 먹겠네요,1
154,완전 맛나요 가격대비 대만족입니다,1
155,역시 빠른배송 과 달콤하고 맛있는 고구마 잘 먹겠습니다,1
156,어머 너무맛있어요 애기 먹이려고 일부러 작은거 샀어요,1
157,작긴 정말작군요 이렇게 작을줄은 몰랏어요 껍질째 먹어야겠어요,0
158,빨리   삶아서   먹어야 지 상태양호,1
159,상태는 나쁘지 않지만호박고구마 맛이 밍밍해요,0
160,딸들이 고구마를 잘 받았다고하네요감사합니다수고했습니다,1
161,가격대비 맛있네요 다먹고 또 주문해야되겠네요,1
162,가격 착합니다오래두지말구 빨리드세요 번째구매,1
163,저렴하고도 크기도 꼭 마음에 드는군요,1
164,고구마 조그마한 거 쪄먹기 좋아요 밤고구마 맛있어요,1
165,작아도 넘  작은 것들이 많이섞였네요 맛은 괜찮습니다,0
166,작지만 맛있어요 에어프라이 돌릴때 물에 씻어서 구었어요,1
167,가격대비 좋아요ㅎㅎㅎ 진짜 한입고구마예요ㅎㅎ,1
168,크기가큰사인펜크기예요너무한것같아요,0
169,세척해서 와서 넘 좋아요 꿀고구마 맞고요 추천,1
170,상태좋고 배송도 빠릅니다 맛도 있겠죠,1
171,크기는 작지만 맛은 커요두번째 구입입니다,1
172,연휴로 배송이 늦었지만 양도 많고 맛있네요잘 먹을게요,1
173,작긴하지만 이가격에 이맛에  양도많고감사합니다,1
174,너무심하네요   반이상 썩었어요  잘라내서 먹어야될듯,0
175,고구마 생김새가 좋아요 아직 맛보기전 잘먹겠습니다,1
176,생각보다  작아서 웃음이 나오네요  맛은  달앗음합니다,0
177,저렴하고 적당한크기 맛있습니다,1
178,만족합니다감사히잘먹겠습니다,1
179,고구마 크기도 괜찮고 달고 맛있네요,1
180,고구마 잘 받았어요 밤 고구마 맛은 있어요 작은데요,1
181,언니 집에 보내줬는데 달아요만족합니다,1
182,상태가 ㅠㅠ썩은 게좀 있어요맛은 좋음,0
183,썩은게 있고 안에 고구마가 젖어있어요생각보다 잘어요,0
184,딱 한입 크기로 맛도 좋아요 감사합니다,1
185,호박고구마가 아니네요 밤고구왔어요맛은 괜찮아요,0
186,크기가 작았지만 맛은 진짜 좋아요 강추,1
187,길쭉하게 생겨서 하나씩 구워 먹거나 쪄 먹으면 좋아요,1
188,애들이 좋아함빨리도착 배송 빠르고 좋아요,1
189,크기도 가격도 배송도 좋네요,1
190,고구마 크기는 넘 작지만 맛은 있어요,1
191,한입사이즈가 좋더라구요 달고 맛있어요,1
192,맛은 아주 굿 크기가 아주 작음,1
193,저렴한 가격에 잘 구입했습니다 ,1
194,찬미 예수님 감사합니다 고구마 아주 좋아요,1
195,크기도 적당하고 좋아요 많이 파세요,1
196,찬미 예수님 감사합니다 고구마가 아주 좋아요,1
197,밤고구마이군요  얼려서 그냥까먹어두  맛있네요,1
198,가성비가 좋아요가성비가 좋아요,1
199,썩은것 없이 깨끗하고 달고 맛있습니다,1
200,정말 작은 사이즈쪄서 먹으니 맛은좋으네요,1
201,좀 자잘하지만괜찮아요다이어트식으로 먹을거라서요,1
202,씻어서 깨끗한데맛은 보통달달하빈다,1
203,싱싱하고 좋아요 구워먹었는데 맛있어요,1
204,몇개 무른것 빼고는 상태양호,1
205,한입크기싱싱가격저렴,1
206,저렴한 가격에 잘 구입했습니다,1
207,저렴하게 잘 구매했어요 맛있네요,1
208,배송도 빠르고 한입고구마그저 그래요,1
209,우와 작은데 완전달고 맛있어서 정말 감사합니다,1
210,이번엔 상한것이 많아요 지난번엔 아주 좋았는데,0
211,작지만 맛있게 먹었습니다담에 또 구매할께요,1
212,사진 크기 보단 작지만 맛은 좋아요,1
213,아직은 덜 달지만 주일 숙성시키면 맛날것같아요,1
214,귀여운 사이즈에 양도 넉넉하고 좋아요,1
215,저렴하게 잘샀어요 좋아요너무 맛있어요,1
216,가격 대비 만족합니다,1
217,상태 좋고 맛있게 먹었어요,1
218,이번에는 싱싱하지 않고 말랐단 느낌이네요,0
219,만족합니다만족합니다,1
220,빠른배송 과 맛있는 고구마 잘 먹겠습니다,1
221,먹기 딱 좋은 사이즈고 맛도 좋아요,1
222,크기도 적당 달고 맛있어요,1
223,딱 한입 크기이지만맛은 있어요,1
224,삶는것보다 에어프라이기 굽기가 굿맛나요,1
225,크기도 적당하고 상한것도 없어요,1
226,고구마 작지만 맛나게 잘 먹었어요 좋아요,1
227,고구마 넘 맛있어요  세번짼데 감사합니다,1
228,저렴하게 잘 구매했습니다 너무 작아요,0
229,먹어보니 달콤하며 맛있어 재구매할 예정임,1
230,잘아서 그렇치 맛은 좋아여 가성비가 좋차나요,1
231,엄청 달아요매우 만족합니다,1
232,받은지 며칠되지않았는데 썩은것들이 꽤나오오네요,0
233,누가 사고 싶겠습니까 쓰레기 보내주셨네요,0
234,저렴하게  잘  샀어요 많이 파세요,1
235,상태는 정말 좋아요 맛은 그냥,1
236,좋은상품 저렴하게 잘 구입했습니다,1
237,가격 저렴하고 맛도 있네요,1
238,시식전입니다  한입크기 좋아요,1
239,크기도 적당하고 맛있습니다,1
240,가늘고  길지만  맛나요 추천합니다,1
241,빠른배송 크기는 한입 달아요,1
242,저렴하게 잘 산것같아요 좋아요 ㅎㅎ,1
243,진짜 한입이네요그래도 맛은 좋아요,1
244,저렴하고 맛있습니다감사합니다,1
245,지난번에 맛있게 먹어서 재구매 했어요,1
246,맛있어요 달고  상한거 없이 좋아요,1
247,작지만 달고 맛있어요잘 받았습니다,1
248,가장저렴 칼배송 추가구매예정칼배송,1
249,작지만 괜찮아요  쪄서  먹어야  할듯,1
250,한입 고구마 빠른 배송 감사합니다,1
252,크기는 작지만 맛있습니다,1
253,빠른배송 맛은 괜찮은데 작긴 작네요,1
254,고구마가그다지 싱싱하지 안았요,0
255,재구매 햇는데 열어보니 알알이 좋으네요,1
256,고구마 맛있어요 잘 먹고 있습니다,1
257,재구맨데 구워서 맛있게 먹고있어요,1
258,사이즈도먹기좋아요맛은보통이에요,1
259,저렴하게 잘 샀어요 맛도 좋아요,1
260,작지만 싱싱하고 좋아서 강추,1
261,아직 먹기 전인데 맛있길 기대합니다,1
262,잘 받았습니다 만족합니다,1
263,배송도 빠르고 잘 먹겠습니다,1
264,고구마 신선하고 달고 맛있어요,1
265,이번에도 역시나 맛있게 먹었습니다,1
266,꿀 아니고 그냥 고구마 입니다,0
267,맛나게 먹을게요 맛났으면 좋겠네요,1
268,크기도 적당하고 좋네요,1
269,심줄 줄기가 좀  있네요 맛은있어요,0
270,맛나요크기도 원한대로 왔어요,1
271,배송이 빠르고 맛이 좋아요,1
272,곯았고 상태가 안좋아요,0
273,착한 가격에 그냥 먹어요,0
274,호박고구마가 아니고 밤고구마네요,0
275,양도 많고  신선하고마음에 들어요,1
276,맛나게 생겼습니다 잘 먹을게요,1
277,물기가 없고 단맛도 프로 부족한 듯,0
278,계속 주문하고  있어요  맛있어요,1
279,좋아요 씻어 나온고구마 굿 추천,1
280,만족합니다 훌륭합니다,1
281,맛이 좋고 한입고구마 잘먹겠습니다,1
284,빠른배송 과 넉넉한 양 잘 먹을께요,1
285,썩은게 있어서  골라 먹기  힘드네여,0
286,아직은 먹기전인데 모양이 이쁘네요,1
287,지난번 것과는 품종이 다른것 같아요,0
288,ㅋㅋ 엄지 손꾸락만한것이맛은 좋네요,1
289,좋은상품 저렴하게 구입했어요,1
290,맛있을거 같아요 잘 먹을게요,1
291,좋은 고구마 보내주셔서 감사합니다,1
292,좋는 고구마 보내주셔서 감사합니다,1
293,배송 빠르고 맘에 듬니다,1
294,배송빠르고 잘받았습니다,1
295,살짝 마른 감이 있어도 맛있네요,1
296,맛있어서 두번째 시킴 굿 달아요,1
297,맛있어요좋아요너무작아요ㅎㅎ,1
298,아이들 한입이라고 광고 해주세요,0
299,달고 맛있어요 가성비 짱,1
300,손가락 굵기여서 먹기 다소 불편,0
301,달달하게 맛나게 잘 먹었습니다,1
302,넘 맛있어요 강추입니다,1
303,고구마도 좋은게 왔고달아요,1
304,맛은 밍밍하고 심이 많다고 하네요,0
305,맛있네요 다음에 또 주문합니다,1
306,꿀호박고구마 좋아보이네요  ,1
307,찬미 예수님 고구마 좋아요,1
308,작지만 넘 맛나요재구매할께요,1
309,심지가 좀 있네요 잘 먹겠습니다,1
310,심이 많고 단맛이 하나도 없어요,0
311,고구마 맛있어요 잘먹을게요,1
312,좋아요 저렴하게 잘샀어요,1
313,아직먹기전이에요맛있게먹을게요,1
314,모양은  괜챦은데  무미합니다,0
315,배송도 빠르고 좋아요,1
316,고구마가 싱싱 하네요,1
317,잘받았습니다 맛나게 먹을께요,1
318,고구마가  달고 맛있어요,1
319,매우 맛나게 잘 먹었습니다,1
320,정말 맛있게 잘먹고 있어요,1
321,너무작지만 맛은조아요,0
322,저렴하게 구입 했읍니다,1
323,크기가 너무 잘다,0
324,달고길쭉하니좋아요맛나요,1
325,길고 잔잔하지만 먹을만 해요,1
326,아주 맛있게 잘먹고있어요,1
327,고구마가 너무 맛있어요,1
328,고구마 맛있어요,1
329,너무 작아요 반입입니다 ㅠㅠ,0
330,우ㅡ와 넘좋고 맛있어요,1
331,사이즈 너무 작아요,0
332,아주맛있어요아주맘에들어요,1
333,조금은 아쉽다 조금만 컸으면,0
334,만족입니다,1
335,만족합니다,1
336,맛있음 또 구매할게요,1
337,맛있습니다 잘먹겠습니다,1
338,작고 귀엽네요 먹기 편해요,1
339,맛나요작긴하지만요,1
340,싱싱해요 감사합니다,1
341,싱싱하게잘도착했어요,1
342,꿀고구마 맛있어요,1
343,고맙습니다 잘 부탁드립니다,1
344,양도 많고 달고 맛나요,1
345,잘 포장되서 왔어요,1
346,배송이 빠르네요,1
