,text,year,quarter,month,label_old,label_new
10,배추는 소금에 절임이 덜 되어서 너무 딱딱 하고요 웃긴 것은 포장 열었는데 김치 익은 냄새가 심하게 났음 배추는 아주 싱싱하게 딱딱하고 양념은 벌써 익어 버리면 어쩌라는 건가요이 겨울에 왜 양념이 익었는지 이해가 되지 않네요 맛도 없음 이건 뭐 종가집 김치만 먹다가 남감하네요 후기평 귀찮아서 저는 상품평을 좋게 하고 복사 합니다 근대 이건 아니다 싶어서 글 남겨요 이름값에 맞게 김치를 담아서 파십시오,2022,4,12,0,0
11,월요일날 출발할 줄 알았는데 일찍 배송왔네요 먹어보니 넘 달지 않고 적당하니 먹을만 합니다 모두 국산 재료로 이 정도 가격으로 판매해주셔서 감사합니다 한가위 쿠폰까지 써서 잘 구매했어요 다만 배송중에 스티로폼박스가 깨져서 와서 안의 얼음이 다 녹았어요 안의 김치가 별 문제가 없어서 다행이긴 하지만 택배 기사님들 스티로폼 깨지지 않게 잘 관리해주세요 물론 추석이라 바쁘신 것 이해하고 수고 많으신 것 이해하지만 조금만 더 마음 써주세요 감사합니다,2022,3,9,4,1
12,키로 두 개 주문하여 총  주문하였는데 무게가 너무 많이 나가기에  씩 따로따로 택배를 배송 부탁드렸는데 합포장 해서 한꺼번에 보내시는 바람에 택배기사님이 너무 무거워서 던지셨는지 아이스박스가 깨져서 왔고 김치도 국물이 줄줄 새서 왔어요ㅜㅠ김치가 맛있어서 재주문 한 것인데 엄청 속상하네요 사진에는 잘 안 나왔는데 사진 찍고 들어 보니 택배 기사님이 김치도 추가봉지에 넣어서 그리고 박스도 택배테이프로 칭칭 감아 왔더군요 ㅠㅠ,2021,4,10,2,0
13,배추 포기도 크고 고춧가루를 비롯한 양념도 충분히 된것 같아 익으면 맛있을 것 같네요전에 처음 주문해서 맛있게 먹은 기억으로 재구매 했습니다아쉬운 점은 배추포기중 하나가 양념이 제대로 안들어가 배추속이 노란 상태로 그냥 왔고 스티로폼 아이스박스가 아랫부분에 테이프가 붙어 있길래 뭔가 하고 떼어봤더니 박스에 금이간 상태더라고요 김치엔 이상 없었지만 포장이 좀 꺼림직 했습니다,2023,1,1,3,0
14,옥션 몃년동안 이용하면서 처음 후기 남겨요ㅡㅡ김치 여러군데 시켜보고 여기랑 비교해서 후기남겨여배추 혹시 중국산이랑 같이 혼합해서 쓰세여 식감이 물렁물렁 한게 국산김치 여러군데서 먹어보다가 이김치 먹어보고 황당해서   후기를 남기네여 맛은 약간씁쓸하고 맛있단 생각은 안드네여 익으면 모루겟지만 배추도 자를때 여러쪽으로  나눠놔서 배추잎이 다떨어져잇고당황스럽네여 ㅡㅡ,2021,2,6,1,0
15, 국산재료라서 샀는데 진짜 맛있어요 배추 자체가 달고 잘 절여졌고 다른 곳과 달리 무도 길죽길죽해서 아삭아삭 무생채도 맛있고 만족합니다 재료도 좋고 착한 가격이라 샀는데 첫 주문이라 걱정 많이 했었거든요 근데 앞으로 사대부 김치만 먹게 될 거 같아요 날김치로도 맛있어서 맨 밥에 김치만 먹었을 정도로 맛있어요 상품평대로 시원한 맛에 계속 당기는 맛까지 추가해요ㅋ,2022,1,1,4,1
16,생각보다는 하루 늦게 택배가  도착 했는데요택배 상자를 드니까 뭔가 아래로 빠져 나가는것 같아서 바로 내려 놓고 확인해 보니 스티로폼 상자 아래쪽이 깨져서 왔습니다택배 기사님들 수고 하는 것은 알겠지만 이런 일이 자주 반복되는걸 봐야하는게 기분이가 좋지는 않네요다행이 안에 내용물이 터지거나 하진 않아서 그나마 다행이다 하면서 바로 먹을 양만빼놓고 김치통으로 옮겨서 김치 냉장고로 넣었습니다김치는 먹을만 햇습니다,2022,4,12,2,0
17,국산재료로 이렇게 저렴하게 판매해주셔서너무 너무 감사해요신랑이 김치 잘안먹는데담백하고 맛잇다고 잘먹네요겨울에도 김장안햇어요요기서 구매해서 먹어보고맛잇어서 꾸준히 구매하고잇어요겨울보다 김치가격이 마니내려서키로 구매했어요김치통에 담아놓고 나니든든하네요  맛잇는김치앞으로도꾸준히 이가격이엇음좋겟네요 집에서 담아먹는거보다 가격이 훨씬저렴해요,2023,1,2,4,1
18,이틀 간격으로  두 개를 주문했습니다 첫번째 상품이 배추상태도 좋고 포장도 말끔해 을 더 주문했습니다 두번째 온 상품은 아이스팩 두 개가 모두 터져 물이 샜네요 택배사에서 겉비닐로 재포장했지만 김치상태가 좋지 않네요 첫번째에 비해 배추상태도 조금 좋지 않고요 포장하실때 아이스팩상태를 조금 더 신경써주시기 바랍니다 배추는 성수기가 아니니 이해하겠습니다,2022,2,5,4,0
19,먹는거잖아요엄마랑 다른싸이트에서 저는 마켓 이용해서 각자 한통씩 시켜서 키로가 한번에왔는데엄마가시킨건 깨끗하게 안익은 김치가 왔고요제가 시킨건 박스 다 뜻겨서 김치가 샌거마냥 플라스틱에 다묻혀서그런데 어떻게 김치비닐은 그대로인지새서 양념이 범벅됐는데 미심쩍게왔어요물론 만드신부분생각해서무거운 김치를 배송해주신 부분 생각해서 그냥 수취확인 누르지만 먹기가 좀 맘적으로 그러네요,2022,1,3,2,0
20,김치 주문하면서 이런 김치는 처음 받아 보내요김치를 열어보니 시큼한 익은 김치 냄새가 남 그리고 맛도제조일자 표시없이 품질유지기한이 이면 제조일로부터 일을 표시하니 그럼 생산일자가 에 생산한건데 일동안 보관된 익은 김치를 받은거군요 부모님이 그냥 김치찌개 등 먹으면 되지 그래서 그냥 두는데 참 어이가 없는 제품임재구매 다시없는 김치업체,2022,4,12,1,0
21,타사 브랜드 여러 곳 김치 먹다가 여기 사대부 포기김치 먹어 봤는데 김치가 달달하니 맛있어서 이제 사대부김치로 정착했어요오래 두고 먹어도 변하지 않는 한결같은 맛으로 다 먹을 때까지 맛있게 잘 먹고 있어요받자마자 김치 쭉쭉 찢어서 밥 한공기 뚝딱 비웠네요가성비가까지 너무 좋아서 행복한 구매예요가격 맛 배송 만족도 최고입니다적극추천합니다,2021,4,10,4,1
22,계속 먹어 오던 김치 인데 이번 김치는 보관이 오래된 김치인지 배추는 익었는데 양념보다 하얀배추가 대부분이고 양념은 동치미처럼 물이 되어 있네요 저장고에서 오래 기다리다 방출 된 것으로 이해하고 먹겠습니다 판매시 이런제품은 판매에만 목적을 두는것 보다 대폭 할인 제품으로 분류하여 판매 하는 방식등으로 하는것이 좋을듯합니다 감사합니다,2021,2,4,0,0
23,보냉팩이 안에서 터져서 스티로폼 안에 물이 흥건했어요다행히 비닐포장이 잘 돼 있어서 김치로 들어가진 않았네요생김치로 받으면 수육을 먼저 해먹으려고 했는데 뚜껑을 여니 벌써 익은 냄새가 나더라구요보냉이 약했고 날씨도 더워서 배송되면서 익어버렸나봐요그래도 젓갈냄새 거의 안나고 깔끔하게 맛있는 맛이라 다 먹으면 또 주문하려고 해요,2022,2,6,4,0
24,배송 하루만에 와서 넘좋네요 ㅎ추석 배송으로 늦으면 쉰김치 될까걱정했는데요 갓담은 김치 아이스팩개넣어서 다 녹지 않아서 받았어요큰배추를 절여서 인지 좀 덜 숨이 죽어서인지아직 맛은 없네요 국물은 좀 있어서 좋아요배추 포기 정도 인거 같아요좀 싱겁고 배추가 뻣뻣하지만안익은 김치 좋아하는 넘의편 영감이먹는거라 ㅋㅋ 다행이죠익으면 김치 찌개도 할겁니다,2021,3,9,2,1
25,아이스팩이 개나 들어있고 포장도 꼼꼼히 해주셔서 문제없이 잘 받았고 김치가 다 떨어져서 급했는데 배송도 빨라서 좋네요그리고 양념에 무우채  많이 들어간 걸 좋아하는데 넉넉히 들어있고 양념도 국물도 충분해서 맘에 들어요다만 제입맛에는 약간 짜다싶어 추천에서 별 한개는 뺐지만 익으면 맛있을 것 같아 기대됩니다다 먹으면 재구매 의사 있어요,2022,3,7,4,1
26,잘받긴했는데 박스가 파손되어 왔습니다김치가 고추가루까지 국산이라 해서평이 좋아 주문한건데고추가루 색깔이 제 눈이 이상한 걸까요 국산 고추가루라고 하기엔예전에 제가 장사할때 썼던 중국산 김치 고추가루 색깔이 떠오르네요그래도 국산이라고 하시니 믿고 먹어보려구요 김치는 생김치로 왔고 맛도 괜찮습니다,2021,4,10,3,0
27,사대부김치 처음 구매해봤는데 양념도 무채도 많고 국물도 많아서 골마지 생기거나 마르지않게 배추김치를 푹 잠기게 놓을 수 있고 찌개끓일때도 이용할 수 있어 좋아요저흰 신김치를 좋아해서 처음부터 익혀먹는데 익혔어도 배추가 아삭하고  김치맛이 상큼 개운합니다배추자체도 조각조각 작은 배추가 아니라서 좋아요,2022,4,12,4,1
28,여러번 구매해봤지만이번 김치가 젤 맛있게 왔네요아삭하면서 절임도 딱 좋고 양념도 좋아요다만국물이 좀 더 있었으면처음에는 괜찮은데 나중에는 고추가루가물끼를 빨아들여서인지  뻑뻑해요배추가격이 비싼것이라 맛있는건지가을  배추라 맛있는건지감사히 먹고 또 주문할께요나이 먹으니 김치 담는게 귀찮아자꾸 사 먹게되네요,2022,4,10,4,1
29,일금오후 늦게 주문했는데 일토시에 받음시간도 채 안돼서 도착했지만 당일 갓 담근 김치는 아니란 걸 알 수 있음왜 제조일자를 표기하지 않고품질유지기한으로 표기를 하는지 이해는 함동절기인 지금은 별 문제가 없겠으나 날씨 풀리고 따뜻해지면서 하절기에 접어들면 이걸로 인해서 야기되는  이 장난 아닐 듯,2022,1,2,3,0
30,딸에게 보내줬는데스치로폴 박스가 깨져 테이프로덕지덕지 붙인데다 김치 싼 비닐은어져서 국물은 물론 바닥에 깔린김치는 버리고 국물없는 김치를김치통에 담았다는 이야기를 듣고기분이 너무 안좋았네요판매자측에서 연락이 와서 보내달라고했는데 딸이 번거롭고 시간을 낼수없어취소됐지만 김치 담는 비닐이라도이중으로 담아서 보내줬으면 하는 아쉬움이 있네요,2021,4,10,0,0
31,초록색  배추잎 좀 있습니다국산 고춧가루 제조사 전북 무주군입니다아삭아삭 맛있어요국물도 적당히 있습니다아쉬운 점은 제조일자 없습니다유통기한은 표시되어 있습니다왜 제조일자 없는지 아이스팩 두개 포장되어서 왔습니다지금까지 김치 구입하면서 아이스팩 두개는 처음입니다스티로폼 상자는 손상없이 도착함,2022,2,5,3,1
32,쇼핑에서 첨먹어보고 괜찮아서 재구매 한건데 아 홈쇼핑이랑 다른가 왜 배추가 죄다 얼갈이처럼 씨알도 작고 배춧잎이 정말 좁고 짧고 시퍼렇고누가 포기김치로 보겠어요농협직판장에 나오는 얼갈이보다 작아요 ㅠ그나마 국산이고 고춧가루색도 이뻐서 비추천 아닌 보통이고요반품하고 싶은데 김치 똑 떨어져서 구매 걸정은 합니다,2021,4,10,2,0
33,저번에 한 번 시켜먹고 맛있어서 재구매했는데 이번에는 다 터져서 왔네요박스 보고 열기가 무섭더군요열었는데 아니나 다를까 터져서 난리가 나있네요비닐이 한번만 포장되있어 터져서 국물이 다 빠져나왔습니다참그렇네요이걸 어째야 할지김치 많이 시켜먹어봤지만 이런 경험 처음이라 많이 당황스럽습니다다음엔 이러지않았으면 좋겠어요,2021,4,10,2,0
34,김치 여러곳에서 사서 먹었봤는데 가성비 사대부김치가 최고네요정말 맛있어요 매운맛도 염도도 딱 좋아요저희가족 모두 갓담은 덜익은 김치를선호하는데 그것마저 취향저격입니다배추 자체도 달고 젓갈이 많이 안들어가서 시원하고 뒷맛이 깔끔합니다 앞으로 사대부김치로 정착해야겠어요맛난 김치 감사드리고 번창하세요,2022,1,2,4,1
35,한달 전에 산 사대부김치 킬로 벌써 다 먹어가기에 재구매했는데 이집 김치 정말 맛있네요 배추 좋고 양념 맛있는 국산이고 가격도 착한 편이고 나무랄 데가 없네요 입맛은 조금씩 다르겟지만 이대로만 만들어 주신다면 우리집은 이 김치만 먹으려고요 좋은 김치 만들어 주심에 감사드리며 잘 먹겠습나다  ,2022,1,3,4,1
36,김치 맛있습니다포장이 문제인데  용량이 너무 많은 것인지 아니면 스티로폼 박스가 약한 것인지 박스 밑이 터져서 김치국이 흘러나오고택배사쪽에서 바닥에 비닐을 덧대고 스카치 테이프를 두르고 너절한 상태로 왔어요 김치 자체는 문제가 없어보여 맛나게 먹고있습니다만,2021,4,12,4,0
37,조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아 조아이조아조아,2021,3,8,4,1
38,아 이 김치였는데 여기저기 사다고니 헷갈렸네요여태 시켜먹어본 김치 중 제일 맛있었고 저희 동료들 또한 제일 났다고하네요배추가 절임이 들된건지 싱싱한건지 아직두 김치가 아삭아삭하고 살아있습니다ㅋㅋ어쨌든 다먹구 재구매할겁니다 시원하고 맛있어요저한테는 좀 매콤한김치가 좋은데 매운김치도 있으면 구매하고싶네요,2022,1,2,4,1
39,주문후 일만에 도착했어요배추가 크지않고 채도 짧아서 맛있어요 큰배추 싫어함젓갈은 조금 약한편이예요멸치젓갈을 좋아해서젓갈 강한것을 좋아하는편이라양념은 적당해요가격이 정말 착해요추석 쿠폰 사용했어요감사합니다대박나세요,2022,3,9,4,1
40,김치 이것저것 시켜 먹어보았는데다른 김치들은 고춧가루가 많이 들어가 텁텁하기만 했는데사대부 김치는 고춧가루도 적당히 들어가고 씹히는 맛도 아삭하니 맛도 텁텁하지도 않구 되려 먹고나면 입안이 개운하고 톡 쏘는 맛이많이나 다른 반찬 없이 밥에다 물말아서 먹어도 한끼 식사가 되는거 같아 오 인거 같아요 사대부 김치 짱 입니다,2021,4,11,4,1
41,저번에 다른 사이트에서 주문하고 짜지않고 싱싱하고 맛있었어요 저희집은 막담은 김치 좋아하는데 딱 그김치가 왔는데 이번엔 마켓에서 주문했는데  조금 익어서왔네요 날씨탓은 아닌것같고 가격대가 저렴해서 그런건지 잘 모르겠네요 김치 여러군데서 시켜봤는데 이번처럼 익어서 온적은 처음인것  같아요 암튼 김치는 맛있어요,2021,2,4,4,0
42,항상 주문해서 먹는 김치입니다 너무 익어서 왔네요             주말 전에 만든 김치 보관후 월 일 부터 배송하신것 같네요날씨 탓은 하지마시길 지금보다 더울때도 주문해 먹었습니다 이전들 처럼 좀 덜익었으면 하는 바램이었네요                     어째든 맛있어서 주문했으니 잘 먹을께요,2021,3,8,2,1
43,와 양념을 너무 아껴서 허옇고요 생김치도 맛없구 익어두 맛없구 세상 난제이네요 김냉 김치통 하나 족히 나오는데 버려야할 생각하니 음식물 쓰레기값이 또 ㅜㅜ 피코크 조선 먹다가 이거 버리고 종가집 샀는데 그것도 별로네요 그래도 이거보다는 나아요 와 사진에는 빨갛게 보이는데 어찌 그리 허옇고 맛도 없는지 원,2021,4,10,0,0
44,맛있어요 홈쇼핑에서 파는 유명 연예인 김치보다 맛있는거 같아요 고향이 경상도 사람인지라 약간의 젖갈맛을 선호합니다 젖갈맛이 많이 나는건 아니고 살짝 나면서 간도 딱 맞고 양념도 많아서 마음에 들어요 하얀김치는 보기에도 입맛 떨어지는데 양념이 골고루 잘 입혀졌네요,2021,4,10,3,1
45,국산 재료를 사용한다 그래서 주문 했는데 양념 버무리지도 않고 들어 온게 있어요 안그럼 양념을 아주 조금 칠했던지 너무 하다 할 정도로 하얀게 있어요 다음 부터 양념제대로 좀 해주세요 다음에 다시는 안 시킬거지만 다른 사람들한테 피해 안가게 맛있게 좀 해주세요김치 맛나게 하는데가 없네,2021,3,9,0,0
46,기존 구매해서 먹던 김치집이 사라져서 고민끝에 주문했는데 비할바 양념소가 넉넉하진 않아요그래도 이 가격에 국산 기본 배추는 넘 크지않고 괜찮아요새빨간 김치만 참 좋겠지만ㅠ비쥬얼은 살짝 못미침이 있지만 이틀 먹어보니 입에는 맞아요그런데 국물이 꽤나 들긴 했네요,2022,1,3,3,1
47,포장에 조금더 신경쓰주세요 개봉하기도 전부터국물이 흘러 이상해서 개봉했더니 비닐이 찢어져서왔더군요 덕분에 첫날부터 꿈에도 생각못한 약간익은 맛이 김도는 김치를 먹게 되었네요김치를 두어점 먹어보니 그렇게 짜지는 않은것 같고나름 맛은 있는것 같네요 이 부분은 좀더 먹어봐야정확한 맛 평가가 될 듯 싶네요,2022,3,8,2,0
48,익은거 안먹는데 요즘 이리도 선선한 날씨에 다 익어서오고 배춧가 잔잔하고 잎이 거뭇한건 둘째치고 회색빛이 나는거 빤히 보엿을텐데 양념입혀 보내다니 이공장도 문제잇네요두포기는 통째로 버렷네요 너무 열받아서 버려버리는바람에 사진을 깜빡한게 너무아쉬울뿐 다시 딴데 시켜야겟음 김치값도 너무 올랏는데 아우 승질나,2022,4,10,0,0
49,한동안 김치가 아니라 금치라 넘 비싸 못사먹다가 근래 금액이 많이 떨어져서 바로 구매했어요갓 담은 김치라 그런 지 아직 양념이 베이기 전이라 줄기쪽만 먹고 있어요 김치 냉장고에서 얼른 익기를 기다립니다줄기 쪽은 양념이 스며들어서 맛이 있어요맛있게 잘 먹을께요,2022,4,11,4,1
50,김치가 익으면 적당한 양념배합으로 시원하고 깔끔한맛 가게에서 계속 쓰고있는 김치입니다가끔 양념이 골고루 안 배어있어 싱거울때도 있지만  이런점만 신경써주시면 계속 구매 할것 같아요 가게 손님들도 맛있다고 합니다늘 일정한맛 유지해주세요감사합니다,2021,2,5,4,1
51,리뷰 읽고 맛나다고 해서주문해서 먹어봤더니제게는 맞는 깔끔한 맛이라번째 주문입니다도착하자마자 김치통에 옮겨버려서포장되어 온 모습은 못보여드리지만안전하게 아이스팩 넣어서 아이스박스에잘 도착해서 왔었습니다전 신김치파라 밖에 일 두었다가냉장고에 보관해 맛나게 잘 먹고 있답니다,2023,1,2,3,1
52,김장 김치를 다먹어서자주 애용하는 사대부 김치를 주문했는데이번 김치는 양념도 푸짐하고배추도 아삭하니겉절이 해먹어도 맛있고익힐수록 깊은 맛도 나네요 김장김치도 아닌데ㅋ암튼가격도 맛도 만족합니다나중엔 사진도 찍어 올려보겠습니다ㅋ,2022,3,7,4,1
53,오늘 받아 바로 수육하고 먹엇네요 넘나 맛잇어요벋 김치포장 비닐이 찢어져 왓어요 스티로폼 상자밖으로 새고 씻느라 고생ㅜ 그리고 찢어진곳으로 김치국물 반정도는 다 나와버렷구요 김치가 나왓다면 반품햇을 것 같습니다 반품보다 비닐한장을 더 추가하는 것이 나을 것 같다는 생각입니다,2021,4,10,3,0
54,편하게  사  먹자  해서  군데  정도  구매김치  먹기  시작  했는데  먹을만해서  여기서  한달에  한번씩  구매하게  되네요 근데  김치국물만  리터 가까이  나오니  신경  써주셨으면 합니다   썰어  담고도  김치국물 버렸네요 익으면서  넘치니까요  ㅠㅠ갓  담아 보내주셔서 감사합니다,2023,1,3,3,0
55,배추도 달고 포기도 좋고 줄량도 배추로 꽉 채워서 오고 무채등 과하지 않은 양념에 국물로 채우지 않은 점 등등  다 좋은데 조미료를 넣는건지 시원칼칼한 맛이 없어요 ㅠ 조선호텔김치도 그렇고 사대부도 그렇고 쨍한 시원하고 깔끔한 맛이 안나네요,2022,3,9,4,0
56,짜지 않고 제가 좋아하는 맛이네요 아이스 박스에 안전하게 담겨왔고 배송도 빨랐어요 새김치라 맛있고 무우가 시원한 맛이 좋네요 다른데꺼 먹다보면 입안이 꿉꿉하던데 여기껀 시원하고 깔끔한 맛이네요 다음에도 여기껄로 구입할래요 국산김치 믿고 사먹어요,2022,2,4,4,1
57,항상 먹는 김치예요 약간 익어서 왔지만 날씨가 더우니까 그려러니 해요 김치 담긴 제품 비닐은 공장 두 곳으로 알고 있는데 공장마다 장일때가 있고 장으로 보내는 곳이 있는데 장일 때 비닐 개가 파손돼도 안심할 수 있지 않을까 싶어요 이번 발송지는 장으로만 되어있어요,2022,3,7,3,1
58,익일배송으로 떠서 놀라 고객센터에 전화했더니 당일로 배송됐어요 고객센터 상담사님께 감사드려요 하지만 스티로폼 박스 열어봤더니 냉매가 하나 완전 터져서 물바다였답니다 이게 익일배송됐더라면 어떻게 됐을 지 끔찍했어요 다행이 김치 담은 비닐 봉지는 터지지 않아 그냥 구매 결정 누릅니다,2022,3,8,2,0
59,가격이 저렴한 편이라 솔직히 별로 기대 안 했는데 기대 이상으로 맛이 괜찮네요오늘은 아직 덜 익은 상태에서 먹어봤지만 이 정도 양념과 맛과 바삭함이면 익어도 맛이 좋을 거라 확신합니다대기업 만만원대 제품과 비교해도 모자라지 않네요 추천합니다,2022,4,12,4,1
